Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
66,Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%,2020.csv,2020
67,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%,2020.csv,2020
68,Ice 2,"$19,788,995",-,-,"$19,788,995",100%,2020.csv,2020
69,Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%,2020.csv,2020
70,The Turning,"$19,428,166","$15,472,775",79.6%,"$3,955,391",20.4%,2020.csv,2020
71,Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,252,497","$200,000",1%,"$19,052,497",99%,2020.csv,2020
72,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%,2020.csv,2020
73,The Promised Neverland,"$17,698,106",-,-,"$17,698,106",100%,2020.csv,2020
74,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%,2020.csv,2020
75,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%,2020.csv,2020
