Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
238,The Lego Batman Movie,311950384,175750384,136200000,2017.csv,2017,56.33921066114155,43.66078933885845
239,Knives Out,311605581,165363234,146242347,2019.csv,2019,53.06812332093628,46.93187667906372
240,The Ex-File 3: The Return of The Exes,307592427,838959,306753468,2017.csv,2017,0.2727502130603495,99.72724978693965
241,The Fault in Our Stars,307166834,124872350,182294484,2014.csv,2014,40.652940414784496,59.3470595852155
242,Rise of the Guardians,306941670,103412758,203528912,2012.csv,2012,33.691338813657985,66.30866118634202
243,Annabelle: Creation,306515884,102092201,204423683,2017.csv,2017,33.30731173461797,66.69268826538203
244,Wonder,305937718,132422809,173514909,2017.csv,2017,43.284237676114195,56.71576232388581
245,Skyscraper,304868961,68420120,236448841,2018.csv,2018,22.442468323300382,77.55753167669963
246,A Good Day to Die Hard,304654182,67349198,237304984,2013.csv,2013,22.106769569964413,77.89323043003559
247,Dangal,303723636,12391761,291331875,2016.csv,2016,4.079946217949267,95.92005378205073
248,Passengers,303144152,100014699,203129453,2016.csv,2016,32.992455351736425,67.00754464826358
249,Battleship,303025485,65422625,237602860,2012.csv,2012,21.589809517176416,78.41019048282358
250,Wrath of the Titans,301970083,83670083,218300000,2012.csv,2012,27.708070338875256,72.29192966112474
251,Alice Through the Looking Glass,299457024,77041381,222415643,2016.csv,2016,25.7270241889534,74.27297581104659
252,Real Steel,299268508,85468508,213800000,2011.csv,2011,28.559138604720815,71.44086139527919
253,Ocean's Eight,297718711,140218711,157500000,2018.csv,2018,47.09771533304804,52.90228466695195
254,The Divergent Series: Insurgent,297002527,130179072,166823455,2015.csv,2015,43.83096444159211,56.169035558407884
255,Miss Peregrine's Home for Peculiar Children,296482446,87242834,209239612,2016.csv,2016,29.425969455203425,70.57403054479657
256,Ferdinand,296069199,84410380,211658819,2017.csv,2017,28.510355107894895,71.4896448921051
257,Pacific Rim: Uprising,290930148,59874525,231055623,2018.csv,2018,20.5803782837934,79.4196217162066
258,Divergent,288885818,150947895,137937923,2014.csv,2014,52.25174985917792,47.74825014082207
259,Bridesmaids,288383523,169106725,119276798,2011.csv,2011,58.63952393701772,41.36047606298228
260,Maze Runner: The Death Cure,288175335,58032443,230142892,2018.csv,2018,20.137893827728178,79.86210617227182
261,Pitch Perfect 2,287144079,184296230,102847849,2015.csv,2015,64.18249355578737,35.817506444212626
262,Oblivion,286168572,89107235,197061337,2013.csv,2013,31.13802273158074,68.86197726841927
263,Elysium,286140700,93050117,193090583,2013.csv,2013,32.51900795657521,67.48099204342479
264,John Carter,284139100,73078100,211061000,2012.csv,2012,25.719128412809077,74.28087158719092
265,Turbo,282570682,83028128,199542554,2013.csv,2013,29.383136074959115,70.61686392504089
266,Paddington,282370135,76271832,206098303,2014.csv,2014,27.01129565277858,72.98870434722143
267,Split,278454358,138291365,140162993,2017.csv,2017,49.66392553281569,50.33607446718431
268,The Bourne Legacy,276144750,113203870,162940880,2012.csv,2012,40.99439514964525,59.00560485035476
